Date,Average,unixstart,unixend
2023-08-12,29447.980,1691798400,1691884799
2023-08-11,29497.425,1691712000,1691798399
2023-08-10,29643.005,1691625600,1691711999
2023-08-09,29942.820,1691539200,1691625599
2023-08-08,29670.550,1691452800,1691539199
2023-08-07,29182.840,1691366400,1691452799
2023-08-06,29132.495,1691280000,1691366399
2023-08-05,29130.225,1691193600,1691279999
2023-08-04,29262.700,1691107200,1691193599
2023-08-03,29282.975,1691020800,1691107199
2023-08-02,29875.025,1690934400,1691020799
2023-08-01,29427.625,1690848000,1690934399
2023-07-31,29390.980,1690761600,1690847999
2023-07-30,29398.530,1690675200,1690761599
2023-07-29,29351.250,1690588800,1690675199
2023-07-28,29362.045,1690502400,1690588799
2023-07-27,29446.855,1690416000,1690502399
2023-07-26,29439.345,1690329600,1690415999
2023-07-25,29253.830,1690243200,1690329599
2023-07-24,30082.470,1690156800,1690243199
2023-07-23,30038.155,1690070400,1690156799
2023-07-22,29945.880,1689984000,1690070399
2023-07-21,29916.610,1689897600,1689983999
2023-07-20,30161.885,1689811200,1689897599
2023-07-19,30025.615,1689724800,1689811199
2023-07-18,30176.285,1689638400,1689724799
2023-07-17,30263.145,1689552000,1689638399
2023-07-16,30358.045,1689465600,1689551999
2023-07-15,30331.390,1689379200,1689465599
2023-07-14,31482.820,1689292800,1689379199
2023-07-13,31047.060,1689206400,1689292799
2023-07-12,30733.455,1689120000,1689206399
2023-07-11,30577.300,1689033600,1689119999
2023-07-10,30555.710,1688947200,1689033599
2023-07-09,30331.425,1688860800,1688947199
2023-07-08,30346.230,1688774400,1688860799
2023-07-07,30118.520,1688688000,1688774399
2023-07-06,30934.395,1688601600,1688687999
2023-07-05,30830.280,1688515200,1688601599
2023-07-04,31231.595,1688428800,1688515199
2023-07-03,30978.750,1688342400,1688428799
2023-07-02,30673.370,1688256000,1688342399
2023-07-01,30563.795,1688169600,1688255999
2023-06-30,30828.975,1688083200,1688169599
2023-06-29,30433.075,1687996800,1688083199
2023-06-28,30674.480,1687910400,1687996799
2023-06-27,30612.635,1687824000,1687910399
2023-06-26,30539.310,1687737600,1687823999
2023-06-25,30784.510,1687651200,1687737599
2023-06-24,30712.840,1687564800,1687651199
2023-06-23,30655.495,1687478400,1687564799
2023-06-22,30237.015,1687392000,1687478399
2023-06-21,29468.155,1687305600,1687391999
2023-06-20,27588.245,1687219200,1687305599
2023-06-19,26659.625,1687132800,1687219199
2023-06-18,26585.615,1687046400,1687132799
2023-06-17,26550.885,1686960000,1687046399
2023-06-16,25996.105,1686873600,1686959999
2023-06-15,25402.810,1686787200,1686873599
2023-06-14,25995.090,1686700800,1686787199
2023-06-13,26105.060,1686614400,1686700799
2023-06-12,26002.250,1686528000,1686614399
2023-06-11,25984.035,1686441600,1686527999
2023-06-10,26490.985,1686355200,1686441599
2023-06-09,26637.830,1686268800,1686355199
2023-06-08,26552.040,1686182400,1686268799
2023-06-07,27260.970,1686096000,1686182399
2023-06-06,26505.240,1686009600,1686095999
2023-06-05,27107.785,1685923200,1686009599
2023-06-04,27223.740,1685836800,1685923199
2023-06-03,27266.050,1685750400,1685836799
2023-06-02,27045.885,1685664000,1685750399
2023-06-01,27276.225,1685577600,1685663999
2023-05-31,27743.705,1685491200,1685577599
2023-05-30,27887.740,1685404800,1685491199
2023-05-29,28275.610,1685318400,1685404799
2023-05-28,27503.360,1685232000,1685318399
2023-05-27,26782.585,1685145600,1685231999
2023-05-26,26690.135,1685059200,1685145599
2023-05-25,26436.470,1684972800,1685059199
2023-05-24,27222.410,1684886400,1684972799
2023-05-23,27139.090,1684800000,1684886399
2023-05-22,26892.785,1684713600,1684799999
2023-05-21,27172.850,1684627200,1684713599
2023-05-20,27014.110,1684540800,1684627199
2023-05-19,26948.540,1684454400,1684540799
2023-05-18,27427.845,1684368000,1684454399
2023-05-17,27244.280,1684281600,1684367999
2023-05-16,27223.910,1684195200,1684281599
2023-05-15,27265.495,1684108800,1684195199
2023-05-14,26961.125,1684022400,1684108799
2023-05-13,26898.185,1683936000,1684022399
2023-05-12,27004.395,1683849600,1683935999
2023-05-11,27598.800,1683763200,1683849599
2023-05-10,27958.265,1683676800,1683763199
2023-05-09,27730.510,1683590400,1683676799
2023-05-08,28518.045,1683504000,1683590399
2023-05-07,28965.940,1683417600,1683503999
2023-05-06,29642.985,1683331200,1683417599
2023-05-05,29248.845,1683244800,1683331199
2023-05-04,29170.475,1683158400,1683244799
2023-05-03,28849.910,1683072000,1683158399
2023-05-02,28441.770,1682985600,1683071999
2023-05-01,29259.270,1682899200,1682985599
2023-04-30,29557.975,1682812800,1682899199
2023-04-29,29366.765,1682726400,1682812799
2023-04-28,29513.685,1682640000,1682726399
2023-04-27,29143.620,1682553600,1682639999
2023-04-26,29131.650,1682467200,1682553599
2023-04-25,27938.745,1682380800,1682467199
2023-04-24,27778.390,1682294400,1682380799
2023-04-23,27818.830,1682208000,1682294399
2023-04-22,27558.055,1682121600,1682207999
2023-04-21,28295.320,1682035200,1682121599
2023-04-20,28929.345,1681948800,1682035199
2023-04-19,30384.495,1681862400,1681948799
2023-04-18,29941.360,1681776000,1681862399
2023-04-17,30307.617,1681689600,1681775999
2023-04-16,30411.141,1681603200,1681689599
2023-04-15,30492.302,1681516800,1681603199
2023-04-14,30668.291,1681430400,1681516799
2023-04-13,30193.541,1681344000,1681430399
2023-04-12,30317.315,1681257600,1681343999
2023-04-11,30051.954,1681171200,1681257599
2023-04-10,29028.406,1681084800,1681171199
2023-04-09,28207.998,1680998400,1681084799
2023-04-08,28027.078,1680912000,1680998399
2023-04-07,28065.892,1680825600,1680911999
2023-04-06,28174.107,1680739200,1680825599
2023-04-05,28421.396,1680652800,1680739199
2023-04-04,28106.584,1680566400,1680652799
2023-04-03,28299.256,1680480000,1680566399
2023-04-02,28484.342,1680393600,1680479999
2023-04-01,28628.645,1680307200,1680393599
2023-03-31,28321.261,1680220800,1680307199
2023-03-30,28752.462,1680134400,1680220799
2023-03-29,27926.336,1680048000,1680134399
2023-03-28,27288.685,1679961600,1680047999
2023-03-27,27993.557,1679875200,1679961599
2023-03-26,27816.404,1679788800,1679875199
2023-03-25,27599.150,1679702400,1679788799
2023-03-24,28326.426,1679616000,1679702399
2023-03-23,27940.583,1679529600,1679615999
2023-03-22,28415.227,1679443200,1679529599
2023-03-21,28061.790,1679356800,1679443199
2023-03-20,28196.037,1679270400,1679356799
2023-03-19,27615.454,1679184000,1679270399
2023-03-18,27512.215,1679097600,1679183999
2023-03-17,26354.341,1679011200,1679097599
2023-03-16,24696.884,1678924800,1679011199
2023-03-15,24860.742,1678838400,1678924799
2023-03-14,25187.089,1678752000,1678838399
2023-03-13,23169.564,1678665600,1678751999
2023-03-12,21202.510,1678579200,1678665599
2023-03-11,20393.099,1678492800,1678579199
2023-03-10,20370.007,1678406400,1678492799
2023-03-09,21753.386,1678320000,1678406399
2023-03-08,22237.470,1678233600,1678319999
2023-03-07,22451.794,1678147200,1678233599
2023-03-06,22506.590,1678060800,1678147199
2023-03-05,22478.209,1677974400,1678060799
2023-03-04,22376.286,1677888000,1677974399
2023-03-03,23466.676,1677801600,1677887999
2023-03-02,23689.102,1677715200,1677801599
2023-03-01,23497.417,1677628800,1677715199
2023-02-28,23537.282,1677542400,1677628799
2023-02-27,23716.540,1677456000,1677542399
2023-02-26,23410.980,1677369600,1677455999
2023-02-25,23195.472,1677283200,1677369599
2023-02-24,24021.775,1677196800,1677283199
2023-02-23,24386.159,1677110400,1677196799
2023-02-22,24459.718,1677024000,1677110399
2023-02-21,24969.958,1676937600,1677023999
2023-02-20,24673.606,1676851200,1676937599
2023-02-19,24874.176,1676764800,1676851199
2023-02-18,24691.485,1676678400,1676764799
2023-02-17,24264.365,1676592000,1676678399
2023-02-16,24759.672,1676505600,1676591999
2023-02-15,23263.560,1676419200,1676505599
2023-02-14,22018.522,1676332800,1676419199
2023-02-13,21834.522,1676246400,1676332799
2023-02-12,21975.837,1676160000,1676246399
2023-02-11,21762.387,1676073600,1676159999
2023-02-10,21860.813,1675987200,1676073599
2023-02-09,22972.933,1675900800,1675987199
2023-02-08,23312.695,1675814400,1675900799
2023-02-07,23039.492,1675728000,1675814399
2023-02-06,23038.245,1675641600,1675727999
2023-02-05,23375.851,1675555200,1675641599
2023-02-04,23498.510,1675468800,1675555199
2023-02-03,23577.406,1675382400,1675468799
2023-02-02,23981.872,1675296000,1675382399
2023-02-01,23449.170,1675209600,1675295999
2023-01-31,23028.395,1675123200,1675209599
2023-01-30,23768.055,1675036800,1675123199
2023-01-29,23475.558,1674950400,1675036799
2023-01-28,23125.824,1674864000,1674950399
2023-01-27,23213.220,1674777600,1674863999
2023-01-26,23158.862,1674691200,1674777599
2023-01-25,23176.019,1674604800,1674691199
2023-01-24,23034.264,1674518400,1674604799
2023-01-23,22928.596,1674432000,1674518399
2023-01-22,22914.998,1674345600,1674431999
2023-01-21,22985.754,1674259200,1674345599
2023-01-20,21881.151,1674172800,1674259199
2023-01-19,20913.358,1674086400,1674172799
2023-01-18,21343.196,1674000000,1674086399
2023-01-17,21313.361,1673913600,1673999999
2023-01-16,21142.556,1673827200,1673913599
2023-01-15,20973.241,1673740800,1673827199
2023-01-14,20535.782,1673654400,1673740799
2023-01-13,19413.477,1673568000,1673654399
2023-01-12,18486.143,1673481600,1673567999
2023-01-11,17689.554,1673395200,1673481599
2023-01-10,17333.498,1673308800,1673395199
2023-01-09,17252.237,1673222400,1673308799
2023-01-08,17007.168,1673136000,1673222399
2023-01-07,16962.780,1673049600,1673135999
2023-01-06,16918.308,1672963200,1673049599
2023-01-05,16864.630,1672876800,1672963199
2023-01-04,16823.945,1672790400,1672876799
2023-01-03,16718.598,1672704000,1672790399
2023-01-02,16687.890,1672617600,1672703999
2023-01-01,16579.310,1672531200,1672617599
2022-12-31,16620.485,1672444800,1672531199
2022-12-30,16638.418,1672358400,1672444799
2022-12-29,16601.303,1672272000,1672358399
2022-12-28,16734.132,1672185600,1672271999
2022-12-27,16941.413,1672099200,1672185599
2022-12-26,16872.287,1672012800,1672099199
2022-12-25,16842.942,1671926400,1672012799
2022-12-24,16816.536,1671840000,1671926399
2022-12-23,16861.561,1671753600,1671839999
2022-12-22,16839.020,1671667200,1671753599
2022-12-21,16911.204,1671580800,1671667199
2022-12-20,16718.235,1671494400,1671580799
2022-12-19,16771.134,1671408000,1671494399
2022-12-18,16799.864,1671321600,1671407999
2022-12-17,16711.181,1671235200,1671321599
2022-12-16,17436.230,1671148800,1671235199
2022-12-15,17818.981,1671062400,1671148799
2022-12-14,18054.659,1670976000,1671062399
2022-12-13,17567.480,1670889600,1670975999
2022-12-12,17155.130,1670803200,1670889599
2022-12-11,17191.527,1670716800,1670803199
2022-12-10,17172.168,1670630400,1670716799
2022-12-09,17249.432,1670544000,1670630399
2022-12-08,17062.675,1670457600,1670543999
2022-12-07,17093.100,1670371200,1670457599
2022-12-06,17034.699,1670284800,1670371199
2022-12-05,17252.032,1670198400,1670284799
2022-12-04,17012.465,1670112000,1670198399
2022-12-03,17107.492,1670025600,1670111999
2022-12-02,17030.687,1669939200,1670025599
2022-12-01,17189.869,1669852800,1669939199
2022-11-30,16825.822,1669766400,1669852799
2022-11-29,16368.184,1669680000,1669766399
2022-11-28,16453.490,1669593600,1669679999
2022-11-27,16525.356,1669507200,1669593599
2022-11-26,16598.902,1669420800,1669507199
2022-11-25,16609.376,1669334400,1669420799
2022-11-24,16702.061,1669248000,1669334399
2022-11-23,16436.940,1669161600,1669247999
2022-11-22,16020.876,1669075200,1669161599
2022-11-21,16286.806,1668988800,1669075199
2022-11-20,16725.377,1668902400,1668988799
2022-11-19,16755.840,1668816000,1668902399
2022-11-18,16823.406,1668729600,1668815999
2022-11-17,16699.526,1668643200,1668729599
2022-11-16,16943.239,1668556800,1668643199
2022-11-15,16850.489,1668470400,1668556799
2022-11-14,16741.663,1668384000,1668470399
2022-11-13,16867.284,1668297600,1668383999
2022-11-12,17058.037,1668211200,1668297599
2022-11-11,17633.941,1668124800,1668211199
2022-11-10,17038.406,1668038400,1668124799
2022-11-09,18555.939,1667952000,1668038399
2022-11-08,20624.187,1667865600,1667951999
2022-11-07,20980.521,1667779200,1667865599
2022-11-06,21326.659,1667692800,1667779199
2022-11-05,21303.354,1667606400,1667692799
2022-11-04,20709.172,1667520000,1667606399
2022-11-03,20263.766,1667433600,1667519999
2022-11-02,20607.003,1667347200,1667433599
